Restaurant ID,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
6317637,1100,Botswana Pula(P),Yes,No,No,3,4.8,Dark Green,Excellent,314
6304287,1200,Botswana Pula(P),Yes,No,No,3,4.5,Dark Green,Excellent,591
6300002,4000,Botswana Pula(P),Yes,No,No,4,4.4,Green,Very Good,270
6318506,1500,Botswana Pula(P),No,No,No,4,4.9,Dark Green,Excellent,365
6314302,1500,Botswana Pula(P),Yes,No,No,4,4.8,Dark Green,Excellent,229
18189371,1000,Botswana Pula(P),No,No,No,3,4.4,Green,Very Good,336
6300781,2000,Botswana Pula(P),Yes,No,No,4,4.0,Green,Very Good,520
6301290,2000,Botswana Pula(P),Yes,No,No,4,4.2,Green,Very Good,677
6300010,6000,Botswana Pula(P),Yes,No,No,4,4.9,Dark Green,Excellent,621
6314987,1100,Botswana Pula(P),Yes,No,No,3,4.8,Dark Green,Excellent,532
6309903,800,Botswana Pula(P),No,No,No,3,4.9,Dark Green,Excellent,1070
6309455,900,Botswana Pula(P),Yes,No,No,3,4.2,Green,Very Good,488
6318433,800,Botswana Pula(P),No,No,No,3,4.8,Dark Green,Excellent,294
6310470,1000,Botswana Pula(P),Yes,No,No,3,4.2,Green,Very Good,458
6314605,700,Botswana Pula(P),No,No,No,3,4.3,Green,Very Good,223
18185059,800,Botswana Pula(P),No,No,No,3,3.6,Yellow,Good,29
18182702,850,Botswana Pula(P),No,No,No,3,4.0,Green,Very Good,72
6318213,1200,Botswana Pula(P),Yes,No,No,3,4.5,Dark Green,Excellent,211
18255654,600,Botswana Pula(P),No,No,No,2,4.5,Dark Green,Excellent,118
6308205,1500,Botswana Pula(P),Yes,No,No,4,4.4,Green,Very Good,392
6315438,3000,Botswana Pula(P),Yes,No,No,4,4.7,Dark Green,Excellent,535
6310406,1800,Botswana Pula(P),Yes,No,No,4,4.5,Dark Green,Excellent,618
6600681,55,Brazilian Real(R$),No,No,No,2,3.0,Orange,Average,6
6601005,30,Brazilian Real(R$),No,No,No,1,3.8,Yellow,Good,9
6600292,45,Brazilian Real(R$),No,No,No,2,3.7,Yellow,Good,11
6600441,60,Brazilian Real(R$),No,No,No,3,3.8,Yellow,Good,11
